threshold,precision,recall,f1,accuracy
0.49,0.9770992366412213,0.252465483234714,0.4012539184952978,0.5722284434490481
0.5,0.9770992366412213,0.252465483234714,0.4012539184952978,0.5722284434490481
0.51,0.9770992366412213,0.252465483234714,0.4012539184952978,0.5722284434490481
0.52,0.9770992366412213,0.252465483234714,0.4012539184952978,0.5722284434490481
0.53,0.9770992366412213,0.252465483234714,0.4012539184952978,0.5722284434490481
0.54,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.55,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.56,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.57,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.58,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.59,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.6,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.61,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.62,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.63,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.64,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.65,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.66,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.67,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.68,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.69,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.7,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.71,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.72,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.73,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.74,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.75,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.76,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.77,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.78,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.79,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.8,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.81,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.82,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.83,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.84,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.85,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.86,0.9769230769230769,0.2504930966469428,0.39874411302982726,0.5711086226203808
0.87,0.9844961240310077,0.2504930966469428,0.39937106918238996,0.5722284434490481
